city,city_geo_criterion_id,submitted_service_phrases,rows_with_reported_searches,local_geo_keyword_basket_average_searches,local_geo_weighted_average_cpc_gbp,local_geo_paid_search_value_proxy_gbp,comparison_limit,evidence_class,observed_at
London,1006886,16,16,23510,13.4677,316626.73,"same 16 generic services measured inside each city; not the 35-phrase explicit-city basket, unique searches or obtainable traffic",derived from Google Ads historical metrics,2026-09-03
Birmingham,1006524,16,16,3280,6.6976,21968.03,"same 16 generic services measured inside each city; not the 35-phrase explicit-city basket, unique searches or obtainable traffic",derived from Google Ads historical metrics,2026-09-03
Bristol,1006567,16,16,1250,12.006,15007.52,"same 16 generic services measured inside each city; not the 35-phrase explicit-city basket, unique searches or obtainable traffic",derived from Google Ads historical metrics,2026-09-03
Manchester,1006912,16,16,1930,6.7364,13001.35,"same 16 generic services measured inside each city; not the 35-phrase explicit-city basket, unique searches or obtainable traffic",derived from Google Ads historical metrics,2026-09-03
Leeds,1006864,16,16,1490,8.1345,12120.36,"same 16 generic services measured inside each city; not the 35-phrase explicit-city basket, unique searches or obtainable traffic",derived from Google Ads historical metrics,2026-09-03
Edinburgh,1007326,16,16,1260,6.1027,7689.4,"same 16 generic services measured inside each city; not the 35-phrase explicit-city basket, unique searches or obtainable traffic",derived from Google Ads historical metrics,2026-09-03
Reading,1007009,16,16,340,13.1287,4463.74,"same 16 generic services measured inside each city; not the 35-phrase explicit-city basket, unique searches or obtainable traffic",derived from Google Ads historical metrics,2026-09-03
Southampton,1007089,16,16,300,12.8818,3864.55,"same 16 generic services measured inside each city; not the 35-phrase explicit-city basket, unique searches or obtainable traffic",derived from Google Ads historical metrics,2026-09-03
Nottingham,1006965,16,16,260,4.0516,1053.41,"same 16 generic services measured inside each city; not the 35-phrase explicit-city basket, unique searches or obtainable traffic",derived from Google Ads historical metrics,2026-09-03
